pfr_uid,uid,name
PFR:NearAa00,aaronneary|1992-11-15,Aaron Neary
PFR:NelsQu00,quentonnelson|1996-03-19,Quenton Nelson
PFR:NewsDe00,detreznewsome|1994-03-06,Detrez Newsome
PFR:NichDe00,deatricknichols|1994-06-08,Deatrick Nichols
PFR:NickHa02,hardynickerson|1994-01-05,Hardy Nickerson
PFR:NkanEl00,elijahnkansah|1994-12-28,Elijah Nkansah
PFR:NortSt00,stormnorton|1994-05-16,Storm Norton
PFR:NoteJo00,joenoteboom|1995-06-19,Joe Noteboom
PFR:ONeiBr00,brianoneill|1995-09-15,Brian O'Neill
PFR:ObadEf00,efeobada|1992-04-13,Efe Obada
PFR:OdomCh00,chrisodom|1994-09-16,Chris Odom
PFR:OkorCh00,chukwumaokorafor|1997-08-08,Chukwuma Okorafor
PFR:OnwuJa00,jamesonwualu|1994-09-04,James Onwualu
PFR:OrtiRi00,rickyortiz|1994-04-15,Ricky Ortiz
PFR:OverJe00,jeffoverbaugh|1993-11-24,Jeff Overbaugh
PFR:PalaKa00,kachepalacio|1994-01-30,Kache Palacio
PFR:PankAd00,adampankey|1994-02-02,Adam Pankey
PFR:ParkBr01,brandonparker|1995-10-21,Brandon Parker
PFR:ParrTi00,timonparris|1995-09-11,Timon Parris
PFR:PatrLu00,lucaspatrick|1993-07-30,Lucas Patrick
PFR:PaynDo00,donaldpayne|1994-07-12,Donald Payne
PFR:PeloCl00,claudepelon|1992-11-27,Claude Pelon
PFR:PeppTa00,tayborpepper|1994-05-28,Taybor Pepper
PFR:PerkKe00,kentperkins|1994-11-19,Kent Perkins
PFR:PeteKe01,kevinpeterson|1994-03-22,Kevin Peterson
PFR:PeteOt00,othapeters|1994-02-27,Otha Peters
PFR:PhilCa00,carrollphillips|1992-09-02,Carroll Phillips
PFR:PhilCa01,camphillips|1995-12-16,Cam Phillips
PFR:PierOl00,olsenpierre|1991-08-27,Olsen Pierre
PFR:PinkLa00,larrypinkard|1992-02-25,Larry Pinkard
PFR:PipkLe00,lenzypipkins|1993-11-07,Lenzy Pipkins
PFR:PittJa00,jamiyuspittman|1994-10-23,Jamiyus Pittman
PFR:PociEt00,ethanpocic|1995-08-05,Ethan Pocic
PFR:PortRe01,reggieporter|1994-07-13,Reggie Porter
PFR:PoweDa02,dariuspowe|1994-03-15,Darius Powe
PFR:PresGi00,gimelpresident|1993-06-24,Gimel President
PFR:PricBi01,billyprice|1994-10-11,Billy Price
PFR:PricEj00,ejuanprice|1993-01-30,Ejuan Price
PFR:QualEl00,elijahqualls|1995-02-11,Elijah Qualls
PFR:QuesDa00,davidquessenberry|1990-08-24,David Quessenberry
PFR:QuesSc00,scottquessenberry|1995-03-23,Scott Quessenberry
PFR:RagnFr00,frankragnow|1996-05-17,Frank Ragnow
PFR:RamcRy00,ryanramczyk|1994-04-22,Ryan Ramczyk
PFR:RankMa00,martinasrankin|1994-10-20,Martinas Rankin
PFR:ReavC.00,cjreavis|1995-11-27,C.J. Reavis
PFR:RedfKa00,kaseyredfern|1991-09-26,Kasey Redfern
PFR:RedmAd00,adamredmond|1993-05-19,Adam Redmond
PFR:RedmAl01,alexredmond|1995-01-18,Alex Redmond
PFR:ReedBe01,bernardreedy|1991-12-31,Bernard Reedy
PFR:ReynKe00,keenanreynolds|1993-12-13,Keenan Reynolds
PFR:RichJe02,jeffrichards|1991-01-03,Jeff Richards
PFR:RiosMa00,marcusrios|1994-10-25,Marcus Rios
PFR:RiveDa00,davidrivers|1994-07-23,David Rivers
PFR:RobeMi01,michaelroberts|1994-05-07,Michael Roberts
PFR:RobePe01,peterobertson|1992-12-02,Pete Robertson
PFR:RobiCa00,camrobinson|1995-10-09,Cam Robinson
PFR:RoosJo00,jordanroos|1993-07-06,Jordan Roos
PFR:RosaAl00,aldrickrosas|1994-12-30,Aldrick Rosas
PFR:RoseNi00,nickrose|1994-05-05,Nick Rose
PFR:RossDa02,danielross|1993-03-15,Daniel Ross
PFR:RoulCh00,chaseroullier|1993-08-23,Chase Roullier
PFR:RudoJa00,jakerudock|1993-01-21,Jake Rudock
PFR:RudoTr00,travisrudolph|1995-09-15,Travis Rudolph
PFR:RussAl01,alonzorussell|1992-09-29,Alonzo Russell
PFR:SankDa00,darnellsankey|1994-10-11,Darnell Sankey
PFR:SchwWe00,wesschweitzer|1993-09-11,Wes Schweitzer
PFR:ScotDa02,damariscott|1995-08-08,Da'Mari Scott
PFR:ScotNi00,nilesscott|1995-09-30,Niles Scott
PFR:ScotTi00,timscott|1993-01-25,Tim Scott
PFR:ScotTr01,trentscott|1994-01-25,Trent Scott
PFR:SharDa02,davidsharpe|1995-10-21,David Sharpe
PFR:SharHu01,huntersharp|1994-04-25,Hunter Sharp
PFR:ShelBr01,bradysheldon|1993-02-23,Brady Sheldon
PFR:SickGa00,garrettsickels|1994-09-24,Garrett Sickels
PFR:SiegTr00,trentsieg|1995-05-19,Trent Sieg
PFR:SimmJo00,jordansimmons|1994-07-15,Jordan Simmons
PFR:SkipDa00,danskipper|1994-09-20,Dan Skipper
PFR:SkurMa01,mattskura|1993-02-17,Matt Skura
PFR:SladCh01,chadslade|1992-05-04,Chad Slade
PFR:SmitAn23,andresmith|1987-01-25,Andre Smith
PFR:SmitBr06,bradensmith|1996-03-25,Braden Smith
PFR:SmitDe06,deveonsmith|1994-11-08,De'Veon Smith
PFR:SmitFi00,fishsmithson|1994-03-18,Fish Smithson
PFR:SmitMa04,mauricesmith|1995-06-14,Maurice Smith
PFR:SmitSh02,shanesmith|1993-08-21,Shane Smith
PFR:SmitVy00,vyncintsmith|1996-06-09,Vyncint Smith
PFR:SnydKe00,kevinsnyder|1992-07-25,Kevin Snyder
PFR:SpeaBr00,breelandspeaks|1995-12-18,Breeland Speaks
PFR:StalTa00,taylorstallworth|1995-08-18,Taylor Stallworth
PFR:SterZa00,zachsterup|1992-05-14,Zach Sterup
PFR:StewAr00,ardariusstewart|1993-12-08,ArDarius Stewart
PFR:StinAa00,aaronstinnie|1994-02-18,Aaron Stinnie
PFR:SullTr01,tresullivan|1993-12-21,Tre Sullivan
PFR:SwooTy00,tyroneswoopes|1994-11-14,Tyrone Swoopes
PFR:TappCh00,charlestapper|1993-05-07,Charles Tapper
PFR:TasiPa00,pasonitasini|1993-05-31,Pasoni Tasini
PFR:TaveGi00,giorgiotavecchio|1990-07-16,Giorgio Tavecchio
PFR:TellWy00,wyattteller|1994-11-21,Wyatt Teller
PFR:TeviSa00,samtevi|1994-11-15,Sam Tevi
PFR:ThomAh00,ahmadthomas|1994-12-15,Ahmad Thomas
PFR:ThomCh05,christhompson|1994-05-09,Chris Thompson
PFR:ThomCo02,coreythompson|1993-12-23,Corey Thompson
PFR:ThomDy01,dymontethomas|1993-11-30,Dymonte Thomas
PFR:ThomJo04,joethomas|1991-05-06,Joe Thomas
PFR:ThomJo28,joethomas|1984-12-04,Joe Thomas
PFR:ThomMa00,matthewthomas|1995-07-21,Matthew Thomas
PFR:ThomMi02,michaelthomas|1990-03-17,Michael Thomas
PFR:ThomRo05,rocthomas|1995-09-02,Roc Thomas
PFR:ToliKe00,kevintoliver|1995-11-24,Kevin Toliver
PFR:TollJa00,jalentolliver|1995-12-30,Jalen Tolliver
PFR:TomxCa00,camerontom|1995-06-21,Cameron Tom
PFR:TrayAu00,austintraylor|1993-09-03,Austin Traylor
PFR:TuerMa00,maxtuerk|1994-01-27,Max Tuerk
PFR:TurnDe01,delanceturner|1995-08-23,De'Lance Turner
PFR:TysoMi00,miketyson|1993-07-27,Mike Tyson
PFR:ValoJe00,jeremiahvaloaga|1994-11-15,Jeremiah Valoaga
PFR:VandJa00,jasonvanderlaan|1992-09-22,Jason Vander Laan
PFR:VirgDe00,deevirgin|1993-10-29,Dee Virgin
PFR:VitaDa00,dannyvitale|1993-10-26,Danny Vitale
PFR:VogeJu00,justinvogel|1993-10-14,Justin Vogel
PFR:WadmCo00,colbywadman|1995-04-19,Colby Wadman
PFR:WareJy00,jylanware|1993-10-16,Jylan Ware
PFR:WashCh01,charleswashington|1993-03-10,Charles Washington
PFR:WestCh02,christianwesterman|1993-02-23,Christian Westerman
